,borough,neighborhood,building_class_category,block,lot,address,zip_code,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date,nyc,manhattan,brooklyn,staten_island,bronx,queens
7863,manhattan,MIDTOWN EAST,13 CONDOS - ELEVATOR APARTMENTS,1320,2138.0,"236 EAST 47TH STREET, 32F",10017,1988,2,R4,1375000.0,10/3/19,True,True,False,False,False,False
17169,brooklyn,BAY RIDGE,01 ONE FAMILY DWELLINGS,5936,9.0,7539 SHORE ROAD,11209,1940,1,A5,1600000.0,8/1/19,True,False,True,False,False,False
1578,manhattan,EAST VILLAGE,13 CONDOS - ELEVATOR APARTMENTS,441,1204.0,"425 EAST 13TH STREET, D",10009,2007,2,R4,1800000.0,11/27/19,True,True,False,False,False,False
3231,manhattan,GREENWICH VILLAGE-CENTRAL,10 COOPS - ELEVATOR APARTMENTS,551,1.0,"2 FIFTH AVENUE, 16AB",10011,1952,2,D4,4250000.0,3/28/19,True,True,False,False,False,False
17610,brooklyn,BAY RIDGE,10 COOPS - ELEVATOR APARTMENTS,5859,15.0,"6801 SHORE ROAD, 3M",11220,1952,2,D4,335000.0,12/13/19,True,False,True,False,False,False
77393,staten_island,SILVER LAKE,13 CONDOS - ELEVATOR APARTMENTS,251,1006.0,"200 HART BOULEVARD, 1F",10301,1937,2,R4,310000.0,8/26/19,True,False,False,True,False,False
16710,manhattan,WASHINGTON HEIGHTS UPPER,10 COOPS - ELEVATOR APARTMENTS,2179,440.0,"350 CABRINI BLVD, 6J",10040,1935,2,D4,785000.0,5/30/19,True,True,False,False,False,False
17694,brooklyn,BAY RIDGE,10 COOPS - ELEVATOR APARTMENTS,5980,1.0,"7901 FOURTH AVENUE, E21",11209,1927,2,D4,332500.0,4/8/19,True,False,True,False,False,False
26481,brooklyn,DOWNTOWN-METROTECH,13 CONDOS - ELEVATOR APARTMENTS,2060,1242.0,"150 MYRTLE AVENUE, 3606",11201,2007,2,R4,1800000.0,10/23/19,True,False,True,False,False,False
9369,manhattan,MURRAY HILL,10 COOPS - ELEVATOR APARTMENTS,910,14.0,"229 EAST 29TH STREET, 1D",10016,1940,2,D4,330000.0,6/19/19,True,True,False,False,False,False
10903,manhattan,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS,1374,1.0,"781 FIFTH AVENUE, 203",10022,1928,2,D4,900000.0,3/28/19,True,True,False,False,False,False
40322,bronx,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS,4508,10.0,"2750 OLINVILLE AVENUE, 5C",10467,1955,2,D4,143000.0,4/16/19,True,False,False,False,True,False
7419,manhattan,MIDTOWN EAST,10 COOPS - ELEVATOR APARTMENTS,1336,10.0,"321 EAST 43RD STREET, 111/2",10017,1928,2,D4,790000.0,10/4/19,True,True,False,False,False,False
2217,manhattan,FLATIRON,13 CONDOS - ELEVATOR APARTMENTS,817,1052.0,"108 FIFTH AVENUE, 20B",10011,1986,2,R4,2800000.0,2/5/19,True,True,False,False,False,False
299,manhattan,CHELSEA,10 COOPS - ELEVATOR APARTMENTS,766,39.0,"201 WEST 16TH ST, 4A",10011,1930,2,D4,1495000.0,9/5/19,True,True,False,False,False,False
13502,manhattan,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS,1539,1532.0,"200 EAST 94TH STREET, 2315",10128,1986,2,R4,1680885.0,5/7/19,True,True,False,False,False,False
1454,manhattan,CLINTON,13 CONDOS - ELEVATOR APARTMENTS,1090,1367.0,"635 WEST 42 STREET, 31J",10036,2005,2,R4,1550000.0,2/13/19,True,True,False,False,False,False
32841,brooklyn,MIDWOOD,01 ONE FAMILY DWELLINGS,6753,15.0,1418 EAST 16TH ST,11230,1945,1,A5,640000.0,6/25/19,True,False,True,False,False,False
5389,manhattan,HARLEM-UPPER,13 CONDOS - ELEVATOR APARTMENTS,2095,1125.0,"710 RIVERSIDE DRIVE, 5A",10031,1920,2,R4,850000.0,5/13/19,True,True,False,False,False,False
15272,manhattan,UPPER WEST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS,1195,1.0,"51 WEST 81ST STREET, 3GH",10024,1905,2,D4,1800000.0,9/20/19,True,True,False,False,False,False
